Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
7D880A.M0.PAX	0.0334818516475621	0	0.0378240402296931	0.170907197190939	0.0122673633274407	0	0.0123466923782211	0	0.128340906818706	0	0.146279500185284	0	0.255307335623325	0	0.00423054674784619	0	0	0.00549096638153794	0.0128783468809023	0	0	0.180645252588542	0	0.730889614469864	0.715349584102978
826E5F.M0.PAX	0.0494575319528641	0.030711070327963	0.0192454260125729	0.275285041136773	0	0	0.00539861366862959	0	0.173784805893765	0	0.0582956199187209	0.0477556287920385	0.120744369057563	0.00270773996033591	0	0.00104509477603132	0	0	0.0373905529055803	0	0	0.178178505597163	0	0.755399743165072	0.695710040214682
830937.M0.PAX	0.0540617330716462	0.0268154233720241	0.0445865889984305	0.233878380418696	0.0202057062537043	0	0	0	0.165933449556305	0	0.0784234269750165	0.0431985230720962	0.137478801533525	0.0261555478169159	0	0	0	0	0.0251361383185246	0	0	0.144126280613116	0	0.761264415094034	0.698640994442289
8867DF.M0.PAX	0.0150899769248769	0.000173147975111628	0.01340250687997	0.256941311368863	0.0867670430622096	0	0.00171842746048362	0	0.201620842690402	0	0.123118013094057	0.0268969343672461	0.189695859921357	0.000378496664956189	0	0.00145806333213872	0	0	0.00220209101250092	0	0	0.0805372852458277	0	0.750828367414619	0.689607985909084
88732B.M0.PAX	0.0315467708805419	0.0356319187144143	0.0147282564413251	0.164553010960701	0.0389871956730036	0	0	0	0.155016703201218	0	0.0760721079318005	0.0205217740258867	0.211112478965949	0.0284878711048201	0	0	0	0	0.0322344736164242	0	0	0.191107438483915	0	0.790395502641169	0.676706826986093
88B192.M0.PAX	0.0152900173515144	0.0342781630473452	0.0381288086544398	0.146829231104395	0.0128591768982237	0	0	0	0.152221269694311	0	0.0655963420333266	0.0642772327605502	0.195999251072143	0.0141252552220092	0	0	0	0	0.0267016044630415	0	0	0.233693647698701	0	0.637213713384367	0.778215950801583
AB9A75.M0.PAX	0.0489425056857102	0	0.0213057143638107	0.211590939745989	0	0	0.0119019892151728	0	0.123684786791846	0	0.141859685008756	0	0.155809489317905	0.023913191318477	0	0	0	0	0.0107681668467056	0	0	0.250223531705628	0	0.756890306857995	0.688023111369164
ABD53F.M0.PAX	0.0138444857629696	0.0544201012640625	0.0263560979011157	0.220016748647686	0.0349274640434319	0	0.000798906110312307	0	0.156649651704525	0	0.1029644799142	0.0272048681140946	0.170778292293026	0.0275338181315275	0	0	0	0	0.0259513067275584	0	0	0.138553779385491	0	0.730049099451673	0.721016854530166
AC9270.M0.NSB	0.11927805216279	0.0458315603353665	0.0615712110878354	0.198430002446669	0	0.010790544016441	0	0.0591010995759494	0.172918750819306	0	0	0.091524196885807	0.0372546205374606	0.00388994939720215	0.0325405115776626	0.0150123433819548	0.0238914181879939	0.00673651141819103	0	0.0728642422584332	0.00820799420012062	0.0401569917108171	0	0.559375616596476	0.830667260214428
AC9270.M0.PAX	0.0911683072754903	0.00777548813262692	0.0387814001187849	0.24141987934512	0.05514976589003	0	0.0121539056115776	0	0.203623005511175	0	0.0506510374143976	0.0293590133354298	0.124277338792362	0.0323200226141275	0	0	0	0	0.0184076765339682	0	0	0.0949131594249108	0	0.756374701723038	0.701857370337883
AJ2232.M0.NSB	0.00223316391675144	0.0232918025390999	0.0329597343071692	0.199631763879306	0	0.0918856443369518	0	0.000999656611622744	0.0804547625252359	0	0	0.16560851919606	0.00165572081579971	0	0.0308272491708741	0.0130509644766669	0.0150837847386444	0.00291330127886216	0.094215517781982	0.0722041122431398	0	0.172984302181834	0	0.355966409635135	0.949534866736499
AJ2232.M0.PAX	0.0313612389943371	0.0357577582775526	0.0574301271573537	0.231092521256545	0	0	0.00135212739233482	0	0.13143077846226	0	0.0976519966061651	0.0323465240005506	0.181443395542989	0.0155753608257257	0	0	0	0	0.0216150499021784	0	0	0.162943121582007	0	0.566707341753997	0.825902815972293
AO5787.M0.NSB	0.0431637194963312	0.0622159600393058	0.0614022798978786	0.0678888426065094	0	0.0236685927768402	0	0.0215942725344733	0.0679716919365577	0	0	0.0949242096366737	0.0384256738352575	0	1.78782486270448e-05	0.00323692862407576	0.014484792489414	0.0125963006050944	0	0.218320076086484	0	0.270088781186477	0	0.438020970470875	0.905036199668779
AO5787.M0.PAX	0.127872451839143	0	0.0473352386103957	0.368733196020766	0	0	0.00243824092941055	0	0.126530862707473	0	0.0919083436087028	0.033090895433417	0.106431978974412	0.0035742936029395	0	0.00178308859215776	0	0	0.012256887314056	0	0	0.0780445223671271	0	0.637829175087464	0.775723647809095
AO9858.M0.PAX	0.199137539163997	0	0.0276495601196414	0.260305856274347	0.0104280371617562	0	0.00874487004873111	0	0.129621926391776	0	0.0958091696726499	0	0.131972851027275	0.00888918978308982	0	0	0	0	0.00129663786729469	0	0	0.126144362489443	0	0.753724579151074	0.69987075790431
AR3216.M0.NSB	0.132812471511125	0.183622002994609	0.0483206996907074	0.144400169394548	0	0.0445348419834024	0	0.0585795587816555	0.12462184673468	0	0	0.0640735559082206	0.00578217834776018	0.0205070335989349	0	0.0192453377718799	0.00209088024130261	0.0138428743397114	0.0280426523159299	0	0	0.109523896385533	0	0.650437021103698	0.770632731991322
AR3216.M0.PAX	0.0957168218936254	0	0.0401665079512582	0.314045002713485	0	0	0.0104949981951688	0	0.165778042244712	0	0.104384873014917	0.0125183434238842	0.102782603679311	0.0130508539562396	0	0	0	0	0.0115756022028579	0	0	0.129486350724542	0	0.533881530409945	0.845023393394716
AU4133.M0.NSB	0.0206683048060398	0	0.033815769664586	0.270923899557977	0	0	0.0576861352683184	0.0490589645063649	0.073685467037957	0	0.00831565723934344	0.0192760537958631	0.00748086284403528	0.00704028492669996	0.126942647701527	0.0631520712213913	0.0247148279590353	0.0219075405937586	0.0197255511381958	0.010558336557606	0.0266573967523422	0.158390228428959	0	0.49230558275025	0.870347347045856
AU4133.M0.PAX	0.131762460810641	0	0.0403580420529787	0.258050645267696	0.0033233036904702	0	0	0	0.184920648383031	0	0.0579102891498504	0.022313984516261	0.129326702642684	0.0209508969574058	0	0	0	0	0.0163554406606347	0	0	0.134727585868348	0	0.728342362648245	0.720967066485172
AY8549.M0.NSB	0.00569155648874212	0.00195005686074157	0.0154518837690973	0.353480847232906	0	0.00710957094283462	0.00506535472318995	0.0800572497606969	0.175589268718837	0	0.00245156098460325	0.0631402849855209	0.0241221118687342	0	0.0890354639680486	0.0391414272564115	0.00399499196047148	0.000400548520170806	0	0.065531607209136	0.0126962272866765	0.0550899874631811	0	0.719680819034018	0.714664351733362
AY8549.M0.PAX	0.0866628891471416	0	0.0178085878087036	0.308341643597269	0.0144288569562144	0	0.000453486976896175	0	0.142820056247019	0	0.0681247622409992	0.0190741053021184	0.178050012254114	0.00845126631955061	0	0	0	0	0.00717785726161778	0	0	0.148606475888357	0	0.782313458924081	0.675082569002992
B1FE00.M0.PAX	0.0796442723732767	0.00394336144387662	0.0174039248864314	0.213513289786177	0.0262513124561856	0.0211946104850141	0	0	0.16796705174931	0	0.0848195978173272	0.0308925464702965	0.213296336142068	0.00557248601719468	0	0.00103563204393739	0	0	0.000821024244957228	0	0	0.133644554083948	0	0.7662624499703	0.690382500367889
B33581.M6.PAX	0.00534747399117487	0.0187950000045722	0.0152310416150211	0.209180109952313	0	0	0.000980295413607025	0	0.150985916985894	0	0.133347277114379	0	0.2198355713508	0.0187788139740079	0	0	0	0	0.00603789931370655	0	0	0.221480600284524	0	0.762418038709215	0.682988787147903
B480DD.M0.PAX	0.0454375777368825	0.00871724176975485	0.0301762598328434	0.158520182810795	0.0186728944855751	0	0.0166207480915575	0	0.131295935988374	0	0.0510002420346231	0.0242732663581737	0.202279232528888	0.00528175757404899	0	0	0	0	0.0293115945671733	0	0	0.278413066221311	0	0.711334596519283	0.722524173384166
BO7420.M0.NSB	0.00927240035895335	0.0342305920646542	0.0391465694614575	0.184833492370817	0	0.0136952358375119	0.0395327345023018	0.0542249948609207	0.094476728300441	0	0	0.0986229456234039	0.0142213556488284	0	0.0427854165455652	0.0499396099576177	0.0110922782577071	0.012995700869861	0	0.107447780487967	0	0.193482164851993	0	0.691292365195118	0.750521435212901
BO7420.M0.PAX	0.107286423475582	0	0.0535188518570658	0.238066843087095	0.000179031502857836	0	0.000563470789069522	0	0.148123428241714	0	0.079740305552506	0	0.152731087214343	0.00150122115517968	0	0.00157813403346641	0	0	0	0	0	0.216711203091119	0	0.670790881150752	0.756030858113729
BO9315.M0.NSB	0.0251061868081166	0.0279461399788062	0.0240401089389478	0.222885709456543	0	0.0186259187317066	0	0.0586722006418961	0.163431049120872	0	0	0.102537423885636	0.01525506022727	0	0.019139848267473	0.0222009305104316	0.0199050988616285	0.00417337915901359	0.118458495745696	0.00736255050921307	0	0.15025989915675	0	0.503023571454132	0.863715409420075
BO9315.M0.PAX	0.121559221361687	0	0.0332708615343217	0.335497222554503	0.0229611129166498	0	0.00681059101917439	0	0.164128504474059	0	0.124657528891087	0.00841297762108063	0.123350391478744	0.00198368347569731	0	0.00151827682556711	0	0	0	0	0	0.0558496278474296	0	0.69435030449453	0.73416930629147
BT4345.M0.NSB	0.0317833375441836	0.00497974291514402	0.0096418572116002	0.142695898192728	0	0.079471399676548	0.00484561217537169	0.0597276155209073	0.14042255460921	0.0675100037616188	0.00424917446473039	0.0392104657229689	0.0554578981219728	0	0.0336747609921017	0.0872479515061209	0.0537759676124512	0.0208313475362487	0.127528501708763	0	0.00843882818168869	0.0285070825456417	0	0.594762802638699	0.818991967611705
BT4345.M0.PAX	0.0563764420092332	0.0331545527339001	0.0176217193570083	0.172380774312362	0	0	0.00959021479475271	0	0.124648106190047	0	0.05143785235589	0.0141610316119222	0.226959547890283	0	0.00478463908742389	0	0	0.0113575200862873	0.0355818217128712	0	0	0.24194577785802	0	0.728680386013079	0.715524850109425
C1F457.M0.PAX	0.0230382928380786	0	0.0190611534593294	0.190519461541079	0	0	0.000308505070902289	0.00452216446583568	0.103114641377251	0	0.209367389056503	0	0.192292538674825	0.00954333010288073	0	0.00276969012564116	0	0	0.00463011800765567	0	0	0.240832715280019	0	0.706423833863692	0.72156443147662
C5190E.M0.PAX	0.0467298493523931	0.0260034051398337	0.0374964619021733	0.265163500770225	0	0	0	0	0.144799196257904	0	0.122864651955829	0.0224697153436564	0.184476489471995	0.0238594218136369	0	0	0	0	0.0331906367323884	0	0	0.0929466712599647	0	0.72166151871477	0.727020104175946
